
t=2016-09-09T17:11:46-0400 lvl=info msg="no configuration paths supplied"
t=2016-09-09T17:11:46-0400 lvl=info msg="using configuration at default config path" path=/root/.ngrok2/ngrok.yml
t=2016-09-09T17:11:46-0400 lvl=info msg="open config file" path=/root/.ngrok2/ngrok.yml err=nil
t=2016-09-09T17:11:46-0400 lvl=info msg="run component" obj=controller comp="Tunnel session"
t=2016-09-09T17:11:46-0400 lvl=info msg="run component" obj=controller comp=web
t=2016-09-09T17:11:46-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2016-09-09T17:11:46-0400 lvl=info msg="run component" obj=controller comp="signal handler"
t=2016-09-09T17:11:46-0400 lvl=info msg="run component" obj=controller comp=updater
t=2016-09-09T17:11:46-0400 lvl=info msg="run component" obj=controller comp=storage
t=2016-09-09T17:11:47-0400 lvl=info msg="tunnel session started" obj=tunSess
t=2016-09-09T17:11:47-0400 lvl=info msg="client session established" obj=csess id=4200d6a6835d
t=2016-09-09T17:11:48-0400 lvl=info msg=start pg=/inspect/http id=a52ecce2145c30fc
t=2016-09-09T17:11:48-0400 lvl=info msg=end pg=/inspect/http id=a52ecce2145c30fc status=200 dur=7.076763ms
t=2016-09-09T17:11:50-0400 lvl=info msg="join connections" obj=join id=fcf5664aa244 l=127.0.0.1:4567 r=64.235.154.105:48919
t=2016-09-09T17:11:55-0400 lvl=info msg="join connections" obj=join id=681b3eae96c6 l=127.0.0.1:4567 r=24.23.105.146:37884
t=2016-09-09T17:11:59-0400 lvl=info msg="join connections" obj=join id=cf24542b911e l=127.0.0.1:4567 r=24.23.105.146:37886
t=2016-09-09T17:17:21-0400 lvl=info msg="join connections" obj=join id=f1afc7a568e8 l=127.0.0.1:4567 r=24.23.105.146:48840
t=2016-09-09T17:22:22-0400 lvl=info msg="join connections" obj=join id=f2102acd2649 l=127.0.0.1:4567 r=24.23.105.146:55080
t=2016-09-09T17:27:23-0400 lvl=info msg="join connections" obj=join id=9a5e0fd6c6b1 l=127.0.0.1:4567 r=24.23.105.146:42102
t=2016-09-09T17:32:23-0400 lvl=info msg="join connections" obj=join id=7f17613932be l=127.0.0.1:4567 r=24.23.105.146:37932
t=2016-09-09T17:37:24-0400 lvl=info msg="join connections" obj=join id=6fc33405fc53 l=127.0.0.1:4567 r=24.23.105.146:48886
t=2016-09-09T17:42:25-0400 lvl=info msg="join connections" obj=join id=12fb753fd501 l=127.0.0.1:4567 r=24.23.105.146:33946
t=2016-09-09T17:47:29-0400 lvl=info msg="join connections" obj=join id=6ddb18d2bd8b l=127.0.0.1:4567 r=24.23.105.146:42140
t=2016-09-09T17:52:30-0400 lvl=info msg="join connections" obj=join id=01134db837bf l=127.0.0.1:4567 r=24.23.105.146:55146
t=2016-09-09T17:57:31-0400 lvl=info msg="join connections" obj=join id=6a16c006cc4b l=127.0.0.1:4567 r=24.23.105.146:55162
t=2016-09-09T18:02:32-0400 lvl=info msg="join connections" obj=join id=e954d066b5fe l=127.0.0.1:4567 r=24.23.105.146:55170
t=2016-09-09T18:07:33-0400 lvl=info msg="join connections" obj=join id=12aa1e0dd2e3 l=127.0.0.1:4567 r=24.23.105.146:55180
